DEFENDid,Defense,Definition,Analyzes,Neutralizes,Verifies,Obfuscates,Filters,Encrypts,Blocks,Authenticates,Terminates,Isolates,Spoofs,Disables,Modifies
D3-SCA,System Call Analysis,Analyzing system calls to determine whether a process is exhibiting unauthorized behavior.,['SystemCall'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-SDM,System Daemon Monitoring,Tracking changes to the state or configuration of critical system level processes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-JFAPA,Job Function Access Pattern Analysis,"Detecting anomalies in user access patterns by comparing user access activity to behavioral profiles that categorize users by role such as job title, function, department.",['Authorization'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-UBA,User Behavior Analysis,Analysis of user behavior and patterns for the purpose of detecting unauthorized user activity.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-PSMD,Process Self-Modification Detection,"Detects processes that modify, change, or replace their own code at runtime.",['Process'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-FC,File Carving,Extracting files from network application protocols through the use of network stream reassembly software.,['FileTransferNetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-UDTA,User Data Transfer Analysis,Analyzing the amount of data transferred by a user.,['ResourceAccess'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-DP,Decoy Persona,"Establishing a fake online identity to misdirect, deceive, and or interact with adversaries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['User'],NA,NA
D3-DQSA,Database Query String Analysis,Analyzing database queries to detect [SQL Injection](https://capec.mitre.org/data/definitions/66.html).,['DatabaseQuery'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-BSE,Byte Sequence Emulation,Analyzing sequences of bytes and determining if they likely represent malicious shellcode.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-HDL,Homoglyph Denylisting,Blocking DNS queries that are deceptively similar to legitimate domain names.,NA,NA,NA,NA,NA,NA,"['OutboundInternetDNSLookupTraffic', 'DNSNetworkTraffic']",NA,NA,NA,NA,NA,NA
D3-CHN,Connected Honeynet,"A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['LocalAreaNetwork'],NA,NA
D3-FH,File Hashing,Employing file hash comparisons to detect known malware.,['File'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-TBI,TPM Boot Integrity,Assuring the integrity of a platform by demonstrating that the boot process starts from a trusted combination of hardware and software and continues until the operating system has fully booted and applications are running.  Sometimes called Static Root of Trust Measurement (STRM).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-IHP,Integrated Honeynet,The practice of setting decoys in a production environment to entice interaction from attackers.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['IntranetNetwork'],NA,NA
D3-CE,Credential Eviction,Credential Eviction techniques disable or remove compromised credentials from a computer network.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-RAPA,Resource Access Pattern Analysis,Analyzing the resources accessed by a user to identify unauthorized activity.,"['Authorization', 'Authentication']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-MFA,Multi-factor Authentication,Requiring proof of two or more pieces of evidence in order to authenticate a user.,NA,NA,NA,NA,NA,NA,NA,['UserAccount'],NA,NA,NA,NA,NA
D3-ANAA,Administrative Network Activity Analysis,Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.,['IntranetAdministrativeNetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-LAM,Local Account Monitoring,Analyzing local user accounts to detect unauthorized activity.,['LocalUserAccount'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-SH,Standalone Honeynet,An environment created for the purpose of attracting attackers and eliciting their behaviors that is not connected to any production enterprise systems.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['IntranetNetwork'],NA,NA
D3-DCE,Dead Code Elimination,"Removing unreachable or ""dead code"" from compiled source code.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-ID,Identifier Analysis,"Analyzing identifier artifacts such as IP address, domain names, or URL(I)s.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-PLA,Process Lineage Analysis,"Identification of suspicious processes executing on an end-point device by examining the ancestry and siblings of a process, and the associated metadata of each node on the tree, such as process execution, duration, and order relative to siblings and ancestors.","['Process', 'ProcessTree']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-CA,Certificate Analysis,"Analyzing Public Key Infrastructure certificates to detect if they have been misconfigured or spoofed using both network traffic, certificate fields and third-party logs.",['CertificateFile'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-SU,Software Update,Replacing old software on a computer system component.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Software']
D3-PSEP,Process Segment Execution Prevention,Preventing execution of any address in a memory region other than the code segment.,NA,['ProcessSegment'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-EI,Execution Isolation,"Execution Isolation techniques prevent application processes from accessing non-essential system resources, such as memory, devices, or files.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-IDA,Input Device Analysis,Operating system level mechanisms to prevent abusive input device exploitation.,['InputDevice'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-PH,Platform Hardening,"Hardening components of a d3f:Platform with the intention of making them more difficult to exploit.

Platforms includes components such as:
* BIOS UEFI Subsystems
* Hardware security devices such as Trusted Platform Modules
* Boot process logic or code
* Kernel software components",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-EHPV,Exception Handler Pointer Validation,Validates that a referenced exception handler pointer is a valid exception handler.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-ANET,Authentication Event Thresholding,"Collecting authentication events, creating a baseline user profile, and determining whether authentication events are consistent with the baseline profile.",['Authentication'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-FCR,File Content Rules,Employing a pattern matching rule language to analyze files.,['File'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-PMAD,Protocol Metadata Anomaly Detection,Collecting network communication protocol metadata and identifying statistical outliers.,['NetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-ISVA,Inbound Session Volume Analysis,Analyzing inbound network session or connection attempt volume.,['InboundInternetNetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-USICA,User Session Init Config Analysis,Analyzing modifications to user session config files such as .bashrc or .bash_profile.,['UserInitConfigurationFile'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-UGLPA,User Geolocation Logon Pattern Analysis,Monitoring geolocation data of user logon attempts and comparing it to a baseline user behavior profile to identify anomalies in logon location.,['NetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IPCTA,IPC Traffic Analysis,Analyzing standard inter process communication (IPC) protocols to detect deviations from normal protocol activity.,['IntranetIPCNetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-SEA,Script Execution Analysis,Analyzing the execution of a script to detect unauthorized user activity.,['ScriptApplicationProcess'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-PAN,Pointer Authentication,Comparing the cryptographic hash or derivative of a pointer's value to an expected value.,NA,NA,['Pointer'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-HBPI,Hardware-based Process Isolation,Preventing one process from writing to the memory space of another process through hardware based address manager implementations.,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Process'],NA,NA,NA
D3-DF,Decoy File,A file created for the purposes of deceiving an adversary.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['File'],NA,NA
D3-FEMC,Firmware Embedded Monitoring Code,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-AL,Account Locking,The process of temporarily disabling user accounts on a system or domain.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['UserAccount'],NA
D3-CP,Certificate Pinning,Persisting either a server's X509 certificate or their public key and comparing that to server’s presented identity to allow for greater client confidence in the remote server's identity for SSL connections.,NA,NA,NA,NA,NA,NA,NA,['PublicKey'],NA,NA,NA,NA,NA
D3-NTCD,Network Traffic Community Deviation,Establishing baseline communities of network hosts and identifying statistically divergent inter-community communication.,['NetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-PM,Platform Monitoring,"Monitoring platform components such as operating systems software, hardware devices, or firmware.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-EHB,Endpoint Health Beacon,"Monitoring the security status of an endpoint by sending periodic messages with health status, where absence of a response may indicate that the endpoint has been compromised.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-DO,Decoy Object,A Decoy Object is created and deployed for the purposes of deceiving attackers.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-RFS,RF Shielding,Adding physical barriers to a platform to prevent undesired radio interference.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-DNR,Decoy Network Resource,Deploying a network resource for the purposes of deceiving an adversary.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['NetworkResource'],NA,NA
D3-AZET,Authorization Event Thresholding,"Collecting authorization events, creating a baseline user profile, and determining whether authorization events are consistent with the baseline profile.",['Authorization'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-SJA,Scheduled Job Analysis,"Analysis of source files, processes, destination files, or destination servers associated with a scheduled job to detect unauthorized use of job scheduling.",['TaskSchedule'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-DUC,Decoy User Credential,A Credential created for the purpose of deceiving an adversary.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Credential'],NA,NA
D3-SFCV,Stack Frame Canary Verification,Comparing a value stored in a stack frame with a known good value in order to prevent or detect a memory segment overwrite.,NA,NA,['StackFrame'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-BDI,Broadcast Domain Isolation,Broadcast isolation restricts the number of computers a host can contact on their LAN.,NA,NA,NA,NA,['LocalAreaNetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA
D3-RRDD,Reverse Resolution Domain Denylisting,Blocking a reverse DNS lookup's answer’s domain name value.,NA,NA,NA,NA,NA,NA,"['DNSNetworkTraffic', 'InboundInternetDNSResponseTraffic']",NA,NA,NA,NA,NA,NA
D3-PCSV,Process Code Segment Verification,"Comparing the ""text"" or ""code"" memory segments to a source of truth.",NA,NA,['ProcessCodeSegment'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D3-ITF,Inbound Traffic Filtering,Restricting network traffic originating from untrusted networks destined towards a private host or enclave.,NA,NA,NA,NA,['NetworkTraffic'],NA,NA,NA,NA,NA,NA,NA,NA
D3-PT,Process Termination,Terminating a running application process on a computer system.,NA,NA,NA,NA,NA,NA,NA,NA,['Process'],NA,NA,NA,NA
